seeds._ids,seeds.title,seeds.description,seeds.claimed,seeds.due_week,seeds.status,seeds.nugget_published,seeds.email_sent_at,seeds.account_id,seeds.added_by_id,seeds.topic_id,seeds.format_id,seeds.updated_at,seeds.created_at,links.url,youtube.id,youtube.viewCount,youtube.likeCount,youtube.dislikeCount,youtube.favoriteCount,youtube.commentCount
52db87177ae1672a15000001,texting while driving graphic video,"This was moved to unassigned because it sat untouched for over 60 days. Wanna use it? Ping an editor. CG: As you can see from the links I added above, I cannot believe we've never featured this one!! Both Rebecca and I tried to search around Upworthy for it, but it seems no one's done it, which is insanely weird. So go for it! You might want to check out the other youtube links for better quality vid?",NULL,NULL,approved,NULL,NULL,NULL,5192a3ec192c830019009743,50ef580097bf9f0002000016,50ef580097bf9f000200003f,2014-03-21 05:01:49 +0000,2014-01-19 08:04:39 +0000,www.youtube.com/watch?v=_3WWpCUme3M,_3WWpCUme3M,240148,656,56,0,369
531865b333efa9466e00004a,"ana Wachowski, trans* director of The Matrix, on visibility and invisibility, gender, and life in a society that clings to binary gender categories",NULL,NULL,NULL,approved,NULL,2014-03-06 00:00:00 +0000,NULL,529c1e0374e449b2e600185f,520e63bd4d8a0e62d5000003,NULL,2014-03-14 00:06:34 +0000,2014-03-06 12:10:27 +0000,www.youtube.com/watch?v=_cGSa0oA0S4,_cGSa0oA0S4,19716,72,13,0,180
52e6a2609ce955dbb100000a,"Lauren Zuniga performs a poem in response to ""Personhood"" amendments and the continuous efforts of legislators to wage war on women.",There are 3 different videos of her performing the poem + some gifs if you're into that sort of thing. ~Rebecca,NULL,NULL,approved,NULL,2014-01-27 00:00:00 +0000,5192a68a9df75720be001e40,4fd6269471864a00030015c3,520e63bd4d8a0e62d5000003,50ef580097bf9f000200003f,2014-03-18 22:41:17 +0000,2014-01-27 18:16:00 +0000,www.youtube.com/watch?v=_D6QOEdV4DM,_D6QOEdV4DM,18592,528,27,0,87
5314137a31bcaf269e000017,New SHOWTIME series about climate change by James Cameron,NULL,NULL,2014-03-15 00:00:00 +0000,approved,NULL,NULL,5192a341f62409164d005597,5192a341f62409164d005597,50ef580097bf9f000200001a,50ef580097bf9f000200003f,2014-03-18 22:41:30 +0000,2014-03-03 05:30:34 +0000,www.youtube.com/watch?v=_eRly8kzT1U,_eRly8kzT1U,5426,34,1,0,11
528501e7787458633e0084a4,Tim Jackson: An Economic Reality Check,"This was moved to unassigned because it sat untouched for over 60 days. Wanna use it? Ping an editor. Long, but I think I could timestamp it pretty effectively. I'd actually think about sharing a chunk that you cut up and linking the whole video in attrib—Alvin",NULL,2014-01-20 00:00:00 +0000,approved,NULL,2014-01-14 00:00:00 +0000,5192a6b3f62409001800e5ed,523a681de2269b946a00c806,50ef580097bf9f0002000008,50ef580097bf9f000200003f,2014-03-18 22:41:17 +0000,2013-11-14 17:01:27 +0000,www.youtube.com/watch?v=_Jq8WUp1x8k,_Jq8WUp1x8k,5437,26,1,0,15
52d845d63bcd31a5c5000a2d,Campaign for safe cosmetics video talking about consumer's choices,This was Timed Out because it sat untouched for over 60 days. Wanna use it? Ping an editor. This was Timed Out because it sat untouched for over 60 days. Wanna use it? Ping an editor. This was Timed Out because it sat untouched for over 60 days. Wanna use it? Ping an editor. This was moved to unassigned because it sat untouched for over 60 days. Wanna use it? Ping an editor.,NULL,NULL,timedout,NULL,2014-03-18 00:00:00 +0000,NULL,505215949c067d0002000289,50ef580097bf9f000200001e,50ef580097bf9f000200003f,2014-03-21 05:01:46 +0000,2014-01-16 20:49:26 +0000,www.youtube.com/watch?v=_jvRrcCpnQ0,_jvRrcCpnQ0,3234,15,0,0,4
5302771a6d25fab56a000014,Revoke NFL's tax exempt status,NULL,NULL,NULL,approved,NULL,NULL,5052155f9c067d000200025c,5052155f9c067d000200025c,50ef580097bf9f000200000f,50ef580097bf9f000200003f,2014-03-18 22:41:26 +0000,2014-02-17 20:54:51 +0000,www.youtube.com/watch?v=_kSYuWPNxaA,_kSYuWPNxaA,126,2,0,0,1
530621ba8fa4eea2a0000013,Erika Alexander Says Hollywood Is Racist,She is a friend of Racialicious so I would love to give her some Upworthy love too. And this content is great! CG: YOU BETCHA.,NULL,NULL,approved,NULL,NULL,5192a63cbf9323030b005a00,5192a63cbf9323030b005a00,50ef580097bf9f0002000028,50ef580097bf9f000200003f,2014-03-18 22:41:28 +0000,2014-02-20 15:39:38 +0000,www.youtube.com/watch?v=_kV_xnQFY2w,_kV_xnQFY2w,17911,906,8,0,160
52d5850f868e0a9a890001f2,Jason Silva on Color,"Taking this one back... This was Timed Out because it sat untouched for over 60 days. Wanna use it? Ping an editor. This was moved to unassigned because it sat untouched for over 60 days. Wanna use it? Ping an editor. CG: I actually quite love this because it shows the relativity of all ""knowns"" in life. This is a great example of a science nugget being looped back to a bigger and grander theme. Great stuff!",NULL,2014-04-30 00:00:00 +0000,approved,NULL,NULL,523a67e3bddc67cba400cd5d,523a67e3bddc67cba400cd5d,50ef580097bf9f0002000035,50ef580097bf9f000200003f,2014-03-18 22:41:36 +0000,2014-01-14 18:42:23 +0000,www.youtube.com/watch?v=_nr1TN9xOI0,_nr1TN9xOI0,158473,256,12,0,65
51c731f4110ba16806000382,Coke's Newest Bottle Is Made Entirely Of Ice,NULL,NULL,NULL,nuggetized,NULL,NULL,505214719c067d0002000189,505214719c067d0002000189,50ef580097bf9f000200001a,50ef580097bf9f000200003f,2014-03-14 00:06:25 +0000,2013-06-23 17:35:48 +0000,www.youtube.com/watch?v=_o-z6JLugWE,_o-z6JLugWE,1663537,4447,125,0,975
52e242bea03fc7d2c8000004,"Brave New Voices: ""That Girl"" (HBO)",NULL,NULL,2014-04-30 00:00:00 +0000,approved,NULL,NULL,5192a3999df7570010002e23,5192a3999df7570010002e23,520e63bd4d8a0e62d5000003,50ef580097bf9f000200003f,2014-03-18 22:41:08 +0000,2014-01-24 10:38:54 +0000,www.youtube.com/watch?v=_t7UsbvF4qY,_t7UsbvF4qY,1849506,24168,187,0,2811
52ddbeb794ecadf0d000000c,brave girl calls teacher who raped her; statue of limitations have run out.,NULL,NULL,NULL,approved,NULL,NULL,5052143e6e33dd000200017b,5052143e6e33dd000200017b,50ef580097bf9f000200001c,50ef580097bf9f000200003f,2014-03-18 22:41:14 +0000,2014-01-21 00:26:31 +0000,www.youtube.com/watch?v=_Vv7q-MLTyQ,_Vv7q-MLTyQ,1391530,23824,749,0,7011
51b5eee03f4f584f3c002531,"VIDEO: Dr. Brené Brown on Faking It, Perfectionism and Living Wholeheartedly - S",NULL,NULL,2014-03-31 00:00:00 +0000,claimed,NULL,NULL,5192a2df9df75720be0015d4,5192a2df9df75720be0015d4,5196b7190fa6380002000001,50ef580097bf9f000200003f,2014-03-14 00:06:27 +0000,2013-06-10 15:21:04 +0000,www.youtube.com/watch?v=_YeulUgWNp8,_YeulUgWNp8,103638,598,8,0,51
52f92bbeb744ad17a5000002,Pharrell talks about ending Stand Your Ground,"This came to me by way of Swagger blog, and they said they have an extended version that includes the publicist trying to shut down the question twice. Gonna try to get my hands on that asap but wanted to turn this in as well. I'll stay up all night and pound it out rather than my usual 1 nugget/month turnover time if you like it! :) CG: Neat! Very cool and I did not know the etymology of the word thug!! https://en.wiktionary.org/wiki/thug Maybe work that into your framing ha!",NULL,NULL,approved,NULL,NULL,52402c9aca9f3acc7c002455,52402c9aca9f3acc7c002455,50ef580097bf9f000200001c,50ef580097bf9f000200003f,2014-03-18 22:41:24 +0000,2014-02-10 19:42:54 +0000,www.youtube.com/watch?v=_zzIuI-Asqo,_zzIuI-Asqo,1871,14,1,0,2
5324893bc86fd06ff1000002,VICE exposé on gun violence in Chicago,"I want to do stills of the interview w/ Rev. Michael Pfleger (see 8:50 to 9:57), who raises an important connection between gun violence, race, and poverty by comparing public reactions to Sandy Hook to ongoing youth violence in black/brown Chicago neighborhoods. //CG: Hmm, this is an interesting idea but I'm not sure if it will translate well to stills. Maybe experiment with other parts of the vid? Try it out!",NULL,NULL,approved,NULL,NULL,5273b93ad6afba2a45003b24,5273b93ad6afba2a45003b24,50ef580097bf9f000200001c,50ef580097bf9f000200003f,2014-03-19 18:33:17 +0000,2014-03-15 17:09:15 +0000,www.youtube.com/watch?v=01Xa2oKKVR0,01Xa2oKKVR0,131998,1116,44,0,431
52dfe03245880e9367000004,tennis player gets asked dumb sexist q,Tennis player Eugenie Bouchard has become the 1st Canadian to make it to a grand slam semi-final in 30 years.,NULL,NULL,approved,NULL,NULL,5052148c29cc210002000186,5052148c29cc210002000186,50ef580097bf9f000200000f,50ef580097bf9f000200003f,2014-03-18 22:41:18 +0000,2014-01-22 15:13:54 +0000,www.youtube.com/watch?v=02X2-XMS780,02X2-XMS780,9637,19,4,0,1
521cc768a80463703200046f,VIDEO: Rosie the Riveter: Real Women Workers in World War II,NULL,NULL,2014-02-28 00:00:00 +0000,claimed,NULL,NULL,5192a2df9df75720be0015d4,5192a2df9df75720be0015d4,520e63bd4d8a0e62d5000003,50ef580097bf9f000200003f,2014-03-14 00:06:27 +0000,2013-08-27 15:36:08 +0000,www.youtube.com/watch?v=04VNBM1PqR8,04VNBM1PqR8,104071,254,14,0,4
